OrderID,OrderDate,Supplier,SKU,ProductName,Quantity,UnitCost,UnitPrice,CountryFrom,CountryTo,ShippingMethod,LeadTimeDays,TransitTimeDays,OnTimeDelivery,DefectRate,Warehouse,TotalCost,Revenue,GrossMarginPct,IdleTime,Profit,OnTimeDeliveryBinary,LateFlag,Profit_from_units,Profit_diff,UnitCost_5pct_down,Profit_5pct_down,LeadTime_5pct_down,IdleTime_5pct_down,TotalCost_5pct_down_LT,Profit_5pct_down_LT,Profit_Change_LT,Defect_Profit_Loss,LeadTimeRange
ORD10054,1/2/2025,Atlas Supply,SKU-1032,Steering Rack,147,201.8000031,289.5,Italy,Egypt,Sea,30,24,Y,0.043900002,Alex-WH2,29672,42550.60156,30.29999924,6,12878,1,0,12891.89954,-13.8995443,191.7100029,14375.12957,28.5,5.7,29396.75818,13153.84338,275.8433777,565.3442258,Medium (16-30 days)
ORD10085,1/9/2025,TransAuto Ltd,SKU-1016,Bearing,385,76.80000305,113.5999985,Italy,Egypt,Air,19,17,Y,0.0253,Giza-WH3,29583.40039,43743.69922,32.40000153,2,14160,1,0,14167.99825,-7.99824825,72.9600029,15646.39831,18.05,1.9,29491.65312,14252.0461,92.04610256,358.248,Medium (16-30 days)
ORD10044,1/14/2025,Atlas Supply,SKU-1031,Brake Pad,355,83.19999695,101.3000031,Italy,Egypt,Sea,10,8,Y,0.042399999,Alex-WH2,29518.19922,35958,17.89999962,2,6439,1,0,6425.502183,13.49781675,79.0399971,7902.302129,9.5,1.9,29426.45195,6531.548053,92.54805256,273.0135936,Short (0-15 days)
ORD10081,1/15/2025,Delta Parts Co,SKU-1019,Steering Rack,89,237.8999939,293.2000122,Egypt,Egypt,Road,30,27,Y,0.0149,Cairo-WH1,21173.09961,26091.19922,18.79999924,3,4918,1,0,4921.701629,-3.7016287,226.0049942,5980.356602,28.5,2.85,21035.4787,5055.720519,137.7205188,73.2782,Medium (16-30 days)
ORD10038,1/21/2025,TransAuto Ltd,SKU-1001,Axle,262,22,27.39999962,Italy,Egypt,Courier,45,43,Y,0.067100003,Giza-WH3,5761.399902,7168.299805,19.60000038,2,1406,1,0,1414.7999,-8.79990044,20.9,1702.9999,42.75,1.9,5669.652629,1498.647176,92.64717556,94.34260422,Long (31-60 days)
ORD10005,1/21/2025,Atlas Supply,SKU-1079,Alternator,322,214.6000061,311.2000122,Italy,Egypt,Sea,52,46,Y,0.045200001,Giza-WH3,69098,100209.6016,31,6,31111,1,0,31105.20196,5.7980358,203.8700058,34560.26206,49.4,5.7,68822.75818,31386.84342,275.8434177,1406.217231,Long (31-60 days)
ORD10021,1/22/2025,Nile Components,SKU-1038,Bearing,180,166.3999939,204,Italy,Egypt,Sea,28,27,N,0.0045,Giza-WH3,29948.40039,36729,18.5,1,6780,0,1,6768.001098,11.998902,158.0799942,8265.601043,26.6,0.95,29902.52675,6826.473246,46.47324628,30.51,Medium (16-30 days)
ORD10096,1/28/2025,Zenith Logistics,SKU-1007,Gearbox,76,222.5,327.2000122,China,Egypt,Sea,12,10,Y,0.031300001,Cairo-WH1,16909.19922,24863.40039,32,2,7954,1,0,7957.200927,-3.2009272,211.375,8802.700927,11.4,1.9,16817.45195,8045.948443,91.94844256,248.960208,Short (0-15 days)
ORD10050,2/4/2025,TransAuto Ltd,SKU-1002,Fuel Pump,370,175.6999969,253,Egypt,Egypt,Air,58,54,Y,0.025699999,Giza-WH3,65009,93595.20313,30.5,4,28586,1,0,28601.00115,-15.001147,166.9149971,31851.45109,55.1,3.8,64825.50545,28769.69768,183.6976751,734.6601714,Long (31-60 days)
ORD10079,2/10/2025,Nile Components,SKU-1020,Radiator,118,83.19999695,95.40000153,China,Egypt,Sea,57,54,N,0.064000003,Alex-WH2,9821.099609,11258.40039,12.80000019,3,1437,0,1,1439.60054,-2.60054044,79.0399971,1930.480522,54.15,2.85,9683.4787,1574.92169,137.9216898,91.96800431,Long (31-60 days)
ORD10095,2/10/2025,TransAuto Ltd,SKU-1053,Alternator,451,113.1999969,124,Turkey,Egypt,Sea,6,1,Y,0.0284,Cairo-WH1,51039.69922,55942,8.800000191,5,4902,1,0,4870.801398,31.1986019,107.5399971,7423.461328,5.7,4.75,50810.33104,5131.668961,229.6689614,139.2168,Short (0-15 days)
ORD10061,2/13/2025,TransAuto Ltd,SKU-1098,Gearbox,439,96.09999847,143,Turkey,Egypt,Sea,16,14,Y,0.0093,Alex-WH2,42205.5,62781.39844,32.79999924,2,20575,1,0,20589.10067,-14.10067167,91.29499855,22698.49564,15.2,1.9,42113.75273,20667.64571,92.64571256,191.3475,Medium (16-30 days)
ORD10024,2/18/2025,Zenith Logistics,SKU-1010,Gearbox,271,162.3999939,192.1999969,Egypt,Egypt,Courier,51,45,Y,0.0015,Alex-WH2,44007.69922,52080.80078,15.5,6,8073,1,0,8075.800813,-2.800813,154.2799942,10276.32073,48.45,5.7,43732.4574,8348.343378,275.3433777,12.1095,Long (31-60 days)
ORD10053,2/19/2025,TransAuto Ltd,SKU-1053,Fuel Pump,158,185.1000061,206.5,UAE,Egypt,Sea,28,26,Y,0.0363,Giza-WH3,29244.19922,32622.30078,10.39999962,2,3378,1,0,3381.199036,-3.1990362,175.8450058,4843.489084,26.6,1.9,29152.45195,3469.848833,91.84883256,122.6214,Medium (16-30 days)
ORD10031,2/20/2025,Zenith Logistics,SKU-1093,Brake Pad,53,117.3000031,156.1000061,Turkey,Egypt,Air,59,54,Y,0.078000002,Cairo-WH1,6215.299805,8275.400391,24.89999962,5,2060,1,0,2056.400159,3.599841,111.4350029,2367.245167,56.05,4.75,5985.931624,2289.468767,229.4687674,160.6800041,Long (31-60 days)
ORD10074,2/22/2025,Nile Components,SKU-1099,Gearbox,1,224.3999939,346.6000061,UAE,Egypt,Road,40,38,Y,0.057700001,Alex-WH2,224.3999939,346.6000061,35.29999924,2,122,1,0,122.2000122,-0.2000122,213.1799942,133.4200119,38,1.9,132.6527213,213.9472848,91.94728476,7.039400122,Long (31-60 days)
ORD10047,2/22/2025,Atlas Supply,SKU-1018,Alternator,308,204.5,272.2999878,UAE,Egypt,Sea,54,53,N,0.007,Giza-WH3,62998.30078,83862.20313,24.89999962,1,20863,0,1,20882.39624,-19.3962424,194.275,24031.69624,51.3,0.95,62952.42714,20909.77599,46.77598628,146.041,Long (31-60 days)
ORD10055,2/23/2025,Zenith Logistics,SKU-1023,Alternator,145,74.09999847,89.5,Egypt,Egypt,Road,25,20,Y,0.043900002,Alex-WH2,10744.5,12979,17.20000076,5,2234,1,0,2233.000222,0.99977815,70.39499855,2770.225211,23.75,4.75,10515.13182,2463.868181,229.8681814,98.07260447,Medium (16-30 days)
ORD10032,2/24/2025,Nile Components,SKU-1041,Gearbox,60,138.6999969,161.8000031,UAE,Egypt,Air,49,44,Y,0.039299998,Alex-WH2,8320.799805,9708,14.30000019,5,1387,1,0,1386.000372,0.999628,131.7649971,1802.100363,46.55,4.75,8091.431624,1616.568376,229.5683764,54.50909723,Long (31-60 days)
ORD10025,2/28/2025,Atlas Supply,SKU-1091,Steering Rack,54,11.5,13.60000038,Turkey,Egypt,Sea,16,10,Y,0.055799998,Alex-WH2,621,732.7999878,15.19999981,6,111,1,0,113.4000205,-2.40002052,10.925,144.4500205,15.2,5.7,345.7581823,387.0418055,276.0418055,6.193799778,Medium (16-30 days)
ORD10088,3/4/2025,Delta Parts Co,SKU-1075,Radiator,487,189.3000031,261.7000122,Egypt,Egypt,Sea,28,25,Y,0.036200002,Alex-WH2,92203.70313,127443,27.60000038,3,35239,1,0,35258.80443,-19.8044317,179.8350029,39868.25951,26.6,2.85,92066.08222,35376.91778,137.9177788,1275.65187,Medium (16-30 days)
ORD10083,3/6/2025,Atlas Supply,SKU-1006,Brake Pad,237,159.8000031,220.1000061,Egypt,Egypt,Road,41,37,N,0.050700001,Cairo-WH1,37872.60156,52173.19922,27.39999962,4,14300,0,1,14291.10071,8.899289,151.8100029,16184.73075,38.95,3.8,37689.10701,14484.09221,184.0922051,725.0100143,Long (31-60 days)
ORD10003,3/13/2025,Zenith Logistics,SKU-1058,Axle,92,16.29999924,23.29999924,Egypt,Egypt,Sea,31,27,Y,0.044599999,Alex-WH2,1496.800049,2139.899902,30,4,643,1,0,644,-1,15.48499928,718.9799965,29.45,3.8,1313.305504,826.5943981,183.5943981,28.67779936,Long (31-60 days)
ORD10052,3/22/2025,Nile Components,SKU-1023,Gearbox,106,220,272.2000122,Turkey,Egypt,Air,16,11,Y,0.0295,Cairo-WH1,23317.90039,28847.90039,19.20000076,5,5530,1,0,5533.201293,-3.2012932,209,6699.201293,15.2,4.75,23088.53221,5759.368181,229.3681814,163.135,Medium (16-30 days)
ORD10090,3/22/2025,Atlas Supply,SKU-1085,Axle,447,198.5,299.2999878,UAE,Egypt,Sea,27,23,Y,0.071999997,Cairo-WH1,88711.60156,133778.2031,33.70000076,4,45066,1,0,45057.59455,8.4054534,188.575,49494.06955,25.65,3.8,88528.10701,45250.09609,184.0960851,3244.751865,Medium (16-30 days)
ORD10009,3/29/2025,Nile Components,SKU-1058,Bearing,342,125.4000015,186.3999939,Egypt,Egypt,Sea,23,17,Y,0.048599999,Giza-WH3,42903.89844,63748.80078,32.70000076,6,20844,1,0,20861.9974,-17.9974008,119.1300014,23006.33743,21.85,5.7,42628.65662,21120.14416,276.1441577,1013.018379,Medium (16-30 days)
ORD10042,3/30/2025,Atlas Supply,SKU-1068,Alternator,350,172.3000031,253.8999939,China,Egypt,Sea,38,37,N,0.016000001,Giza-WH3,60319,88861.5,32.09999847,1,28542,0,1,28559.99678,-17.99678,163.6850029,31575.24683,36.1,0.95,60273.12636,28588.37364,46.37363628,456.6720285,Long (31-60 days)
ORD10048,4/2/2025,TransAuto Ltd,SKU-1047,Fuel Pump,144,74,96.69999695,Turkey,Egypt,Road,17,11,Y,0.0405,Giza-WH3,10663.2002,13927.7002,23.39999962,6,3264,1,0,3268.799561,-4.7995608,70.3,3801.599561,16.15,5.7,10387.95838,3539.741818,275.7418177,132.192,Medium (16-30 days)
ORD10010,4/10/2025,Zenith Logistics,SKU-1035,Alternator,51,121,183.1999969,China,Egypt,Sea,7,4,Y,0.0195,Cairo-WH1,6171,9341.700195,33.90000153,3,3170,1,0,3172.199842,-2.1998419,114.95,3480.749842,6.65,2.85,6033.379091,3308.321104,138.3211038,61.815,Short (0-15 days)
ORD10000,4/13/2025,Atlas Supply,SKU-1015,Bearing,371,190.6999969,226.3000031,China,Egypt,Sea,34,29,Y,0.038400002,Giza-WH3,70738.60156,83957.29688,15.69999981,5,13218,1,0,13207.6023,10.3976998,181.1649971,16745.08724,32.3,4.75,70509.23338,13448.0635,230.0635014,507.5712264,Long (31-60 days)
ORD10006,4/13/2025,Nile Components,SKU-1092,Brake Pad,288,177.3999939,241.8999939,Italy,Egypt,Air,60,56,Y,0.030300001,Giza-WH3,51091.19922,69675.79688,26.70000076,4,18584,1,0,18576,8,168.5299942,21130.55991,57,3.8,50907.70467,18768.09221,184.0922051,563.0952186,Long (31-60 days)
ORD10056,4/16/2025,TransAuto Ltd,SKU-1074,Gearbox,120,48.5,72.80000305,UAE,Egypt,Sea,16,13,Y,0.016100001,Alex-WH2,5816.399902,8734.799805,33.40000153,3,2918,1,0,2916.000366,1.999634,46.075,3207.000366,15.2,2.85,5678.778993,3056.020812,138.0208118,46.97980292,Medium (16-30 days)
ORD10002,4/17/2025,TransAuto Ltd,SKU-1072,Brake Pad,143,33.40000153,42.09999847,UAE,Egypt,Sea,29,26,Y,0.058899999,Alex-WH2,4781.899902,6017.399902,20.5,3,1235,1,0,1244.099562,-9.09956242,31.73000145,1482.909573,27.55,2.85,4644.278993,1373.120909,138.1209088,72.74149877,Medium (16-30 days)
ORD10007,5/2/2025,Nile Components,SKU-1002,Bearing,215,121.1999969,137.3999939,Turkey,Egypt,Sea,53,52,Y,0.027000001,Alex-WH2,26051.59961,29534.59961,11.80000019,1,3483,1,0,3482.999355,0.000645,115.1399971,4785.899322,50.35,0.95,26005.72597,3528.873636,45.87363628,94.04100348,Long (31-60 days)
ORD10086,5/9/2025,TransAuto Ltd,SKU-1032,Axle,272,85.5,97.30000305,Italy,Egypt,Air,41,36,Y,0.0471,Giza-WH3,23261.40039,26465.59961,12.10000038,5,3204,1,0,3209.60083,-5.6008296,81.225,4372.40083,38.95,4.75,23032.03221,3433.567401,229.5674014,150.9084,Long (31-60 days)
ORD10012,5/11/2025,TransAuto Ltd,SKU-1089,Axle,186,111.3000031,145.3000031,China,Egypt,Air,30,23,Y,0.0264,Alex-WH2,20699.90039,27033.19922,23.39999962,7,6333,1,0,6324,9,105.7350029,7359.090029,28.5,6.65,20378.78494,6654.414284,321.414284,167.1912,Medium (16-30 days)
ORD10035,5/11/2025,Delta Parts Co,SKU-1015,Steering Rack,5,240.5,304.6000061,China,Egypt,Sea,49,44,Y,0.057500001,Giza-WH3,1202.400024,1523.199951,21.10000038,5,320,1,0,320.5000305,-0.5000305,228.475,380.6250305,46.55,4.75,973.0318426,550.1681084,230.1681084,18.40000032,Long (31-60 days)
ORD10097,5/15/2025,Atlas Supply,SKU-1026,Alternator,154,91,113,UAE,Egypt,Sea,5,1,Y,0.0425,Giza-WH3,14009.40039,17403.5,19.5,4,3394,1,0,3388,6,86.45,4088.7,4.75,3.8,13825.90584,3577.594155,183.5941551,144.245,Short (0-15 days)
ORD10037,5/15/2025,Zenith Logistics,SKU-1059,Brake Pad,196,53,77.09999847,Germany,Egypt,Road,32,26,Y,0.0381,Cairo-WH1,10382.09961,15115.5,31.29999924,6,4733,1,0,4723.5997,9.40029988,50.35,5242.9997,30.4,5.7,10106.85779,5008.642208,275.6422077,180.3273,Long (31-60 days)
ORD10087,5/16/2025,Nile Components,SKU-1047,Fuel Pump,189,169.8000031,253.3000031,Germany,Egypt,Sea,24,19,Y,0.0546,Cairo-WH1,32086.5,47869.89844,33,5,15783,1,0,15781.5,1.5,161.3100029,17386.11003,22.8,4.75,31857.13182,16012.76662,229.7666214,861.7518,Medium (16-30 days)
ORD10089,5/19/2025,Zenith Logistics,SKU-1058,Brake Pad,192,198.8999939,280.7000122,Germany,Egypt,Sea,46,43,Y,0.057100002,Cairo-WH1,38196.5,53890.60156,29.10000038,3,15694,1,0,15705.60351,-11.6035136,188.9549942,17615.04346,43.7,2.85,38058.87909,15831.72247,137.7224688,896.1274314,Long (31-60 days)
ORD10013,5/30/2025,Zenith Logistics,SKU-1066,Steering Rack,63,102.5999985,155.1000061,China,Egypt,Courier,44,43,Y,0.074699998,Giza-WH3,6465.700195,9773.799805,33.79999924,1,3308,1,0,3307.500479,0.4995212,97.46999857,3630.690474,41.8,0.95,6419.826559,3353.973246,45.97324628,247.1075934,Long (31-60 days)
ORD10011,6/1/2025,Nile Components,SKU-1018,Steering Rack,153,47.40000153,61.59999847,Germany,Egypt,Air,20,14,Y,0.039900001,Cairo-WH1,7256.799805,9426.299805,23,6,2169,1,0,2172.599532,-3.59953182,45.03000145,2535.209544,19,5.7,6981.557987,2444.741818,275.7418177,86.54310217,Medium (16-30 days)
ORD10080,6/6/2025,TransAuto Ltd,SKU-1047,Fuel Pump,48,237.8000031,302.2000122,Egypt,Egypt,Sea,39,38,Y,0.066,Giza-WH3,11413,14506.09961,21.29999924,1,3093,1,0,3091.200437,1.7995632,225.9100029,3661.920444,37.05,0.95,11367.12636,3138.973246,45.97324628,204.138,Long (31-60 days)
ORD10019,6/10/2025,Atlas Supply,SKU-1032,Axle,342,128.3000031,148.5,Turkey,Egypt,Sea,43,41,N,0.007,Cairo-WH1,43868.30078,50790.39844,13.60000038,2,6922,0,1,6908.39894,13.6010602,121.8850029,9102.328993,40.85,1.9,43776.55351,7013.844933,91.84493256,48.454,Long (31-60 days)
ORD10062,6/11/2025,Nile Components,SKU-1088,Radiator,346,195.1999969,248.3000031,Italy,Egypt,Sea,58,54,Y,0.037900001,Giza-WH3,67546.10156,85901.39844,21.39999962,4,18355,1,0,18372.60215,-17.6021452,185.4399971,21749.56209,55.1,3.8,67362.60701,18538.79143,183.7914251,695.6545184,Long (31-60 days)
ORD10091,6/12/2025,Delta Parts Co,SKU-1021,Bearing,69,27.39999962,37.59999847,China,Egypt,Sea,19,18,N,0.049899999,Alex-WH2,1887.199951,2592.300049,27.20000076,1,705,0,1,703.7999207,1.20007935,26.02999964,798.3299193,18.05,0.95,1841.326315,750.9737343,45.97373428,35.1794993,Medium (16-30 days)
ORD10040,6/16/2025,Atlas Supply,SKU-1047,Bearing,480,9.5,13,Turkey,Egypt,Road,19,17,Y,0.077399999,Cairo-WH1,4540.799805,6240,27.20000076,2,1699,1,0,1680,19,9.025,1908,18.05,1.9,4449.052532,1790.947468,91.94746756,131.5025983,Medium (16-30 days)
ORD10026,6/19/2025,Zenith Logistics,SKU-1056,Axle,491,148.5,196.3999939,UAE,Egypt,Road,28,25,Y,0.079800002,Alex-WH2,72923.29688,96412.79688,24.39999962,3,23489,1,0,23518.897,-29.8970049,141.075,27164.572,26.6,2.85,72785.67597,23627.12091,138.1209088,1874.422247,Medium (16-30 days)
ORD10030,6/24/2025,Atlas Supply,SKU-1030,Bearing,264,162.6000061,241.3999939,Germany,Egypt,Air,28,26,Y,0.0004,Alex-WH2,42929,63727,32.59999847,2,20798,1,0,20803.19678,-5.1967792,154.4700058,22949.51686,26.6,1.9,42837.25273,20889.74727,91.74727256,8.3192,Medium (16-30 days)
ORD10027,7/7/2025,Zenith Logistics,SKU-1088,Brake Pad,444,235.3999939,362.1000061,UAE,Egypt,Sea,47,41,Y,0.071699999,Alex-WH2,104499.7969,160772.4063,35,6,56272,1,0,56254.80542,17.1945832,223.6299942,61480.68528,44.65,5.7,104224.5551,56547.85122,275.8512177,4034.702344,Long (31-60 days)
ORD10078,7/7/2025,TransAuto Ltd,SKU-1013,Fuel Pump,126,27.39999962,41.70000076,Egypt,Egypt,Sea,27,21,Y,0.059999999,Cairo-WH1,3448.600098,5255.5,34.40000153,6,1806,1,0,1801.800144,4.19985636,26.02999964,1974.420141,25.65,5.7,3173.35828,2082.14172,276.1417197,108.3599982,Medium (16-30 days)
ORD10004,7/8/2025,Nile Components,SKU-1069,Radiator,354,15,17.60000038,Turkey,Egypt,Sea,34,32,N,0.0469,Giza-WH3,5302.899902,6241,15,2,938,0,1,920.4001345,17.59986548,14.25,1185.900135,32.3,1.9,5211.152629,1029.847371,91.84737056,43.9922,Long (31-60 days)
ORD10029,7/9/2025,Zenith Logistics,SKU-1022,Alternator,481,100.0999985,134.3000031,UAE,Egypt,Sea,11,9,Y,0.073399998,Giza-WH3,48148.10156,64612.69922,25.5,2,16464,1,0,16450.20221,13.7977874,95.09499857,18857.60718,10.45,1.9,48056.35429,16556.34493,92.34493256,1208.457567,Short (0-15 days)
